description,title,identifier,dataInsertedBy,wasAssociatedWith,wasInformedBy,startedAtTime,endedAtTime,goal,governedBy
"The aircraft functional hazard assessment is performed.",,AIRCRAFT_FHA_EXECUTION,,,,,,,SAFETY_PROGRAM_PLAN
"The system functional hazard assessment is performed.",,SYSTEM_FHA_EXECUTION,,,,,,,SAFETY_PROGRAM_PLAN
"The preliminary aircraft safety assessment is performed.",,PASA_EXECUTION,,,,,,,SAFETY_PROGRAM_PLAN
"The preliminary system safety assessment is performed.",,PSSA_EXECUTION,,,,,,,SAFETY_PROGRAM_PLAN
"The common cause particular risk assessment analysis is performed.",,CC_PARTICULAR_RISK_ASSESSMENT_EXECUTION,,,,,,,SAFETY_PROGRAM_PLAN
"The common cause common mode analysis is performed.",,CC_COMMON_MODE_ASSESSMENT_EXECUTION,,,,,,,SAFETY_PROGRAM_PLAN
"The common cause zonal safety analysis is performed.",,CC_ZONAL_SAFETY_ASSESSMENT_EXECUTION,,,,,,,SAFETY_PROGRAM_PLAN
"The aircraft safety assessment is performed.",,ASA_EXECUTION,,,,,,,SAFETY_PROGRAM_PLAN
"The system safety assessment is performed.",,SSA_EXECUTION,,,,,,,SAFETY_PROGRAM_PLAN
"Independence requirements in functions, systems and items are captured",,REQUIREMENTS_EXECUTION,,,,,,,DEVELOPMENT_PLAN
